id;name;description;price;category_id
915;MSI GeForce RTX 3090 GAMING X TRIO;Память:12 ГБ, GDDR6, 15000 МГц GPU:NVIDIA GeForce RTX 3060, 1777 МГц;260000;5
916;Gigabyte GeForce RTX 3090 VISION OC 24G; Память:8 ГБ, GDDR6, 14000 МГц GPU:NVIDIA GeForce RTX 3050, 1777 МГц;265000;5
917;Gigabyte GeForce RTX 3090 EAGLE OC 24G;Память:4 ГБ, GDDR6, 12000 МГц GPU:NVIDIA GeForce GTX 1650, 1590 МГц;241200;5
918;Asus GeForce RTX 3090 TURBO;Память:4 ГБ, GDDR6, 12000 МГц GPU:NVIDIA GeForce GTX 1650, 1590 МГц;245990;5
919;WD Blue WD10EZEX 1 ТБ 1 ТБ, 64 МБ, 7200 rpm;Тип жесткого диска:внутренний Емкость:1000 ГБ Формат:3.5  Обороты:7200 об мин;2490;10
920;Seagate IronWolf ST4000VN008 4 ТБ;Тип жесткого диска:внутренний Емкость:4000 ГБ Формат:3.5  Обороты:5900 об мин;8200;10
921;Toshiba P300 HDWD110EZSTA 1 ТБ CMR;Тип жесткого диска:внутренний Емкость:1000 ГБ Формат:3.5  Обороты:7200 об мин;2700;10
922;WD Red Plus WD40EFZX 4 ТБ;Тип жесткого диска:внутренний Емкость:4000 ГБ Формат:3.5  Обороты:5400 об мин;8580;10
923;Intel Core i5 Rocket Lake i5-11600KF OEM;Socket:Intel LGA 1200 TDP:125 Вт;18820;6
924;Intel Core i5 Comet Lake i5-10600 OEM;Socket:Intel LGA 1200 TDP:65 Вт;18320;6
925;Intel Core i3 Comet Lake i3-10100 BOX;Socket:Intel LGA 1200 TDP:65 Вт;9020;6
926;Crucial Ballistix DDR4 2x8Gb BL2K8G32C16U4B; Объем:16 ГБ Тип:DDR4 Частота:3200 МГц Схема таймингов:16-18-18-36, 1.35 В;375;11
927;Kingston Fury Beast DDR4 2x8Gb KF432C16BBK2 16; Объем:16 ГБ Тип:DDR4 Частота:3200 МГц Схема таймингов:16-18-18, 1.35 В;6599;11
928;Crucial Ballistix DDR4 2x16Gb BL2K16G32C16U4B; Объем:32 ГБ Тип:DDR4 Частота:3200 МГц Схема таймингов:16-18-18-36, 1.35 В;13062;11